科目名,単位,評価,年度
2.00 I,2.0,4,24
II,2.0,3,24
II,2.0,4,24
6.00,2.0,3,25
14.00,2.0,1,25
Academic English,2.0,2,25
Academic English,2.0,5,25
Academic English,2.0,4,24
Practical English,2.0,4,24
Practical English,2.0,3,25
38.00 Practical English,1.0,4,24
38.00 Practical English,1.0,3,24
Practical English,1.0,4,25
6.00 6.00,2.0,3,24
2.00,2.0,1,24
2.00,2.0,3,24
