id,type,name,required_credits,flag
1,group,教養系合計,14,
2,mid,自然科学領域,2,
3,mid,基礎英語,8,
4,mid,基礎ゼミナール,2,
5,subject,情報リテラシー実践I,2,
6,mid,理系共通基礎科目,14,
7,mid,理系共通基礎科目,8,1
8,big,専門教育科目,82,
9,small,学科基礎科目,16,
10,small,領域導入科目,6,
11,small,学科専門科目,42,
12,detail,基礎理論系科目,10,
13,detail,アーキテクチャ系科目,10,
14,detail,コンテンツ系科目,10,
15,small,実験科目,4,
16,small,特別研究,8,
17,all,総計,128,
